CR; strategy 1 convergence; strategy 1 MAPE; strategy 2 convergence; strategy 2 MAPE; strategy 3 convergence; strategy 3 MAPE
0.000000;10.400000;8.000916;20.000000;7.029062;7.600000;8.711294;
0.010000;10.400000;7.922222;19.600000;7.038912;5.200000;9.036898;
0.020000;8.400000;7.927132;24.400000;6.644013;6.000000;8.881963;
0.030000;6.800000;8.269432;21.600000;6.963986;6.000000;9.042180;
0.040000;10.800000;8.051874;24.800000;6.949916;8.000000;8.888231;
0.050000;9.200000;8.059643;22.000000;6.835135;4.000000;8.836334;
0.060000;9.200000;8.033307;20.800000;7.085545;4.800000;9.012486;
0.070000;7.600000;8.094685;24.400000;6.967064;2.400000;8.917684;
0.080000;9.600000;7.922204;26.400000;6.647294;2.800000;8.776161;
0.090000;8.800000;8.081118;21.600000;6.807852;5.600000;8.763247;
0.100000;11.200000;7.910367;20.400000;6.832875;2.800000;8.939755;
0.110000;10.400000;7.945351;25.600000;6.808071;4.000000;8.754344;
0.120000;8.400000;7.956459;29.600000;6.575163;2.400000;8.986757;
0.130000;7.600000;7.990531;22.400000;6.751242;3.200000;8.748349;
0.140000;7.600000;7.883991;26.400000;6.743795;3.600000;8.704481;
0.150000;7.200000;7.903079;23.600000;6.840550;3.200000;8.951623;
0.160000;7.600000;7.877063;19.600000;6.945663;2.800000;8.854791;
0.170000;8.000000;7.982613;24.800000;6.921908;3.600000;8.918112;
0.180000;8.000000;8.074493;22.000000;7.155067;4.000000;8.742773;
0.190000;7.600000;7.810520;22.400000;7.091031;3.600000;9.020944;
0.200000;5.200000;7.949765;22.000000;7.154567;4.800000;8.444580;
0.210000;8.400000;7.831958;18.000000;7.236410;2.000000;8.829815;
0.220000;7.200000;7.942055;17.600000;7.338141;3.200000;8.634684;
0.230000;8.400000;7.734424;23.600000;6.853917;3.600000;8.632962;
0.240000;6.800000;7.991419;18.000000;7.189507;2.800000;8.679879;
0.250000;6.800000;7.895336;19.200000;7.357481;2.400000;8.819605;
0.260000;8.000000;7.734025;17.600000;7.547317;2.800000;8.829984;
0.270000;4.800000;7.914844;18.800000;7.353765;2.800000;8.903158;
0.280000;6.400000;7.871572;23.200000;7.183573;3.200000;8.400866;
0.290000;7.600000;7.792213;18.000000;7.632705;2.400000;8.758141;
0.300000;10.800000;7.547376;18.400000;7.407657;0.400000;8.800988;
0.310000;8.400000;7.721879;22.400000;7.536291;2.400000;8.765215;
0.320000;9.600000;7.640917;19.200000;7.606217;2.800000;8.686359;
0.330000;7.600000;7.807209;12.800000;7.868282;4.800000;8.497744;
0.340000;8.400000;7.753456;12.800000;8.124449;2.400000;8.921378;
0.350000;12.400000;7.551922;17.200000;7.629326;2.400000;8.752208;
0.360000;8.800000;7.727079;16.800000;8.137149;1.600000;8.755968;
0.370000;8.400000;7.678857;15.600000;8.477104;2.400000;8.951856;
0.380000;8.000000;7.636397;14.400000;8.506298;3.200000;8.698079;
0.390000;6.400000;7.734014;15.600000;8.151178;2.000000;8.784250;
0.400000;7.600000;7.549702;8.400000;9.013364;1.200000;8.617700;
0.410000;10.400000;7.468843;9.600000;9.067686;3.600000;8.762173;
0.420000;10.400000;7.487646;12.400000;8.808588;2.400000;8.751692;
0.430000;9.600000;7.409592;14.400000;8.336059;2.000000;8.830857;
0.440000;10.000000;7.466349;12.000000;9.211658;2.000000;8.901046;
0.450000;6.400000;7.514866;13.600000;8.912993;1.600000;8.890961;
0.460000;10.400000;7.329414;12.400000;9.274778;2.000000;8.817823;
0.470000;10.800000;7.343169;8.400000;9.553371;2.400000;8.893277;
0.480000;10.800000;7.144425;7.600000;9.819707;2.000000;8.723811;
0.490000;8.400000;7.513559;6.400000;9.892469;2.000000;8.768163;
0.500000;8.400000;7.374054;9.200000;9.852252;2.400000;9.014357;
0.510000;12.000000;7.308447;8.000000;9.847472;3.600000;8.762141;
0.520000;11.200000;7.284132;7.600000;9.589267;3.200000;8.795173;
0.530000;10.400000;7.340927;6.800000;9.867419;2.800000;8.750803;
0.540000;15.200000;7.024943;5.200000;10.534191;3.600000;8.780737;
0.550000;11.600000;7.273921;6.000000;10.562961;4.400000;8.703817;
0.560000;9.200000;7.302282;5.200000;10.789902;3.200000;8.800292;
0.570000;10.400000;7.288830;6.400000;10.239781;2.400000;9.166128;
0.580000;9.600000;7.348704;7.600000;10.364994;1.200000;8.865324;
0.590000;12.000000;7.119425;7.200000;11.075049;3.200000;8.597033;
0.600000;12.800000;7.169508;5.600000;11.047519;2.800000;8.628856;
0.610000;12.800000;7.163857;5.600000;11.396013;4.000000;8.872982;
0.620000;12.000000;7.043853;5.200000;11.609906;2.000000;8.892989;
0.630000;16.000000;7.079695;4.000000;11.336159;3.200000;8.963639;
0.640000;13.600000;7.256082;4.800000;11.389170;4.400000;8.843420;
0.650000;12.400000;7.404209;3.200000;11.765742;2.400000;8.752122;
0.660000;11.200000;7.419182;2.400000;11.878338;2.800000;8.731062;
0.670000;11.200000;7.270337;3.600000;11.703235;2.800000;8.834506;
0.680000;10.400000;7.351155;4.800000;11.933480;4.000000;8.730045;
0.690000;11.200000;7.757726;4.400000;11.160656;1.200000;9.111565;
0.700000;11.200000;7.401260;4.400000;12.193208;3.600000;9.056355;
0.710000;12.400000;7.624698;4.000000;12.272819;5.600000;8.816450;
0.720000;12.800000;7.589082;3.200000;13.174421;3.600000;9.201966;
0.730000;14.000000;7.266222;4.400000;12.850115;2.400000;9.274430;
0.740000;8.800000;7.691592;2.800000;12.596876;6.400000;8.656778;
0.750000;11.600000;7.535977;6.000000;12.785439;2.400000;8.914205;
0.760000;9.600000;7.748668;3.200000;13.122494;2.400000;9.241331;
0.770000;10.000000;7.621721;2.800000;12.613494;4.000000;9.412547;
0.780000;10.800000;7.612253;2.000000;13.500500;5.600000;9.189106;
0.790000;10.000000;7.950351;2.800000;13.997309;6.000000;9.048859;
0.800000;12.400000;7.708836;1.200000;13.899232;3.200000;9.458936;
0.810000;6.400000;8.353157;2.400000;14.066692;3.200000;9.219065;
0.820000;6.400000;8.460268;1.600000;14.102982;3.200000;9.171144;
0.830000;9.200000;8.452762;1.600000;15.158148;6.000000;8.968838;
0.840000;10.400000;8.427354;3.600000;14.619474;2.800000;9.411525;
0.850000;12.400000;8.216597;1.600000;15.272691;5.200000;9.315347;
0.860000;8.400000;8.418420;2.400000;15.358099;7.600000;8.919177;
0.870000;6.800000;8.701972;1.600000;15.426136;2.800000;9.534296;
0.880000;7.600000;8.704845;2.400000;15.616858;7.600000;9.234731;
0.890000;8.400000;8.739325;1.200000;16.257686;7.200000;9.561867;
0.900000;5.200000;9.316429;2.000000;15.323334;7.200000;9.748282;
0.910000;8.400000;9.347706;1.200000;16.333443;6.800000;9.368365;
0.920000;5.200000;9.448449;2.000000;17.458162;6.400000;9.333302;
0.930000;9.200000;9.369004;0.000000;17.068409;9.600000;9.367550;
0.940000;4.400000;10.086552;0.400000;18.977187;4.000000;10.153035;
0.950000;6.000000;9.902771;1.600000;17.471184;5.600000;9.433748;
0.960000;6.000000;10.106583;0.400000;18.866449;6.000000;9.528614;
0.970000;6.400000;10.360557;1.200000;18.579628;8.800000;9.609663;
0.980000;3.200000;10.752560;0.800000;19.672806;4.800000;9.910751;
0.990000;6.400000;11.292341;0.400000;21.457988;7.600000;10.019338;
1.000000;1.600000;12.126831;0.000000;21.964965;7.600000;10.419023;
